Player,Games played,Wins,Losses,Highest winstreak reached,Kills,Deaths,Final kills,Final deaths,Beds destroyed,Melee kills,Bow kills,Void kills,Arrows shot,Arrows hit
ohJared,17285,12834,3156,297,88025,58417,43592,3367,24371,38762,219,22626,4487,1568
SUGARCANDYSC,21356,12317,7013,323,72523,105807,31147,6641,16981,35993,98,22691,9417,2471
icyfireSC,15829,11673,3766,177,63762,68905,30849,3589,14958,37482,690,24909,9071,3353
chenmashraki,13274,9886,3120,391,51483,48407,25114,3156,11644,32301,149,18332,6270,1649
rickydwag,17592,9324,6762,140,72569,53117,37188,7238,22932,49267,106,22893,3151,919
NOT_YAHYA,12565,8934,2860,409,50274,59645,26356,2792,17063,24773,58,15900,1551,546
IamArezki,16879,8860,6771,160,66278,55313,30087,5870,18608,43151,19,22677,1161,302
abhisnehdas,13770,8655,4297,165,56599,52113,25401,4136,14033,35523,3,21009,874,164
sandwichbatata,13320,8635,3603,225,71454,45999,30566,3474,14089,39741,50,31634,4058,1121
Adel_cool,12396,8414,2967,175,62799,41950,30309,2999,18440,21618,21,19574,1494,422
Milan_PlayzMC,13846,8406,3830,310,58184,51610,28612,3698,16502,22695,71,16834,1606,521
svit2008,12381,8311,3707,280,37455,47333,17519,3832,9814,23711,72,13581,2318,734
tomiey,11746,8069,2667,222,50652,41383,22520,2504,11308,30877,65,16079,3224,868
teatrix,9977,8037,1659,509,54411,34364,29414,1656,19740,27163,94,20068,1518,620
AFK_AMOGH,15393,7760,6368,69,44745,66951,18807,6031,7920,26767,169,17605,7147,1700
M3ax,9171,7404,1362,137,47883,20024,24416,1518,8663,31403,93,16375,2469,752
adriankal,16994,7395,8433,162,53302,77982,25954,7946,17567,30779,13,16352,1738,446
gogli_gamer,12947,7288,4517,108,53185,54418,24456,4310,11721,35118,92,17516,4980,1145
BHUKING,16953,7281,8458,89,73795,61278,28317,8340,14578,52207,14,21522,957,234
Millena2006,10699,7152,3078,136,42232,46556,18238,3151,9904,25711,261,13527,4118,1166
isco003,17016,7116,8575,136,60784,71292,25741,7887,18411,33877,26,19736,1821,515
Revenge1812,13675,7087,5392,302,52304,52026,22771,5457,12604,36774,45,15277,1180,363
anooby,10926,7023,3510,140,35987,38771,15663,3355,6592,24372,36,11516,2750,584
GamingWithIcons,12689,6971,5042,109,56035,43228,22803,5603,9781,35917,32,20031,1647,255
ItsLmb,8120,6864,820,544,43062,33422,23778,823,15135,27382,350,15302,7325,2781
NIREEKSHITTH,11225,6808,3869,174,49238,54946,24468,3726,11200,29908,18,19104,1930,438
WolfgangPlayz60,11521,6793,3260,228,57078,46518,26977,3099,16380,29346,15,17696,1326,373
DuciMC,9141,6723,2383,110,48514,37647,23802,2264,16091,32726,89,15621,2527,911
Real_Gab,8820,6674,1778,311,43764,32926,20859,1626,15250,30112,20,13541,1143,340
Nirsik,11624,6671,4219,105,57055,42228,24710,4557,12744,35751,18,21275,2038,376
Dream3399,12138,6645,4731,394,45998,39679,20494,5029,11000,28474,8,17432,621,119
Binayy,11059,6601,3270,293,39566,51357,18336,3297,9973,23427,7,12376,439,109
imascraaab,11625,6544,4268,96,38434,47758,14990,4399,7486,24955,49,12085,2046,421
_joyjoelyan78_,11363,6495,3998,99,66808,41730,28328,3741,18767,33831,29,18790,1625,542
Gaminghacker7,15802,6488,7448,77,52317,58138,21424,6995,10782,33290,43,17240,3064,794
TakshilMinec,10936,6485,3867,146,47925,52310,20252,3795,8531,29261,49,18601,1624,504
TiedTraffic9,9557,6425,2595,502,44498,30049,21394,2911,12605,30467,5,12031,60,22
EpicAnkush27,10747,6424,3788,104,47538,35805,23056,3926,15620,31356,45,16119,1343,312
djekic,9652,6390,2596,296,43325,49572,24700,2235,18817,24250,38,17740,1641,380
XLR8SPIKE,12267,6384,4366,176,43811,65473,22237,3701,14188,24241,7,16193,966,215
Mrays,7280,6289,506,1377,36637,27443,19712,466,9296,13867,10,11001,658,262
DexteR3_,12928,6243,4498,174,52169,54196,25874,3608,17934,31171,60,19501,1624,501
RachuCiachu,10012,6205,3195,167,45098,37788,22953,3124,15540,19096,92,14249,2377,673
ToqqleKey,7752,6174,1409,257,34341,22231,18026,1329,10260,21579,158,12519,3674,1028
cal_maximal,11508,6083,3434,129,46922,35330,21607,3728,16149,30168,1161,15247,11254,3888
rauf_gamer,13010,6070,6183,208,38031,45349,17818,6678,9560,26524,56,11300,5189,1487
Kaiwie_,12963,6008,5997,100,44801,72983,17983,4753,11851,27585,14,17201,181,111
Devilop27,10992,6002,4249,200,41979,45308,17800,4185,8672,26069,102,15748,2990,737
MagLS,12847,6001,5868,139,54379,38659,18634,5496,11244,32241,8641,12952,99001,31468
Begone124,20153,5968,12008,124,52049,77775,21613,10078,15719,30319,91,21320,4602,1284
miracle_sumy,9603,5940,3194,130,42176,30329,17693,3840,5732,31368,17,10454,226,44
HetPatel729,10494,5906,4163,222,35927,37520,15585,4518,7817,23609,7,12295,670,127
Zam_Mirza,9217,5900,2587,186,41704,28168,20332,2750,9577,28104,33,13546,1309,265
Georno77,9053,5840,2757,164,48793,36763,20254,2635,12229,30283,47,17869,2693,785
RenderDistance2,8508,5804,2075,283,40430,21302,22640,1967,16953,10540,9,8756,378,145
nugget249,8650,5716,2534,110,47758,32886,22410,2481,10234,29303,10,14273,645,127
SnackMe,8252,5700,1966,387,34748,31702,15411,1621,8810,23101,39,11585,1127,393
IYBRohan,13160,5698,6830,128,39323,52887,18255,6350,13051,26033,103,13165,1686,558
DreamyXero,7354,5626,1389,717,34416,24595,17610,1457,9262,14220,226,10150,7588,2588
OhHqrizon_,7562,5611,1447,242,37075,34841,19172,1173,10317,22676,37,14237,966,377
harshil_mc,7893,5589,1853,137,34329,20750,18657,2208,11173,21871,175,12220,1937,673
ITSABHINAV,9535,5558,2914,95,48891,27609,21835,3061,15728,32645,471,15548,6733,1959
HAMHASH11223344,14434,5507,6979,380,42375,49234,18159,6316,11117,28585,81,13660,1581,559
Sanguinly,7435,5463,1422,447,42107,20208,17892,1386,7426,3643,9,7042,1136,252
XxSweetCandyxX,11712,5461,6144,50,61293,51972,21799,6246,9861,28535,1676,29503,14162,5356
hqd_d,7108,5452,1467,277,46674,17402,22500,1617,12870,31189,351,15055,5278,1494
Jaruwu2,10390,5441,4104,73,40633,35674,19555,4436,11116,26113,2,14494,51,2
Its_Illusion_YT,10081,5390,3932,156,36365,26426,15003,4332,5605,25013,3,11331,883,191
